N,pi_value,error_value,time
10,0.4000000000000000,2.74159,0.1685466766357422
100,2.1200000000000001,1.02159,0.16540122032165527
1000,3.0480000000000000,0.0935927,0.1644580364227295
10000,3.1440000000000001,0.00240735,0.1621413230895996
100000,3.1428400000000001,0.00124735,0.16446805000305176
1000000,3.1407039999999999,0.000888654,0.17018961906433105
100000000,3.1415601199999998,3.25336e-05,0.5528371334075928
1000000000,3.1416605039999999,6.78504e-05,4.097271919250488
10000000000,3.1416044609471054,1.18074e-05,5.790777206420898
100000000000,3.1415948522509431,2.19866e-06,5.064862966537476
