N,pi_value,error_value,time
10,2.7999999999999998,0.341593,0.032382965087890625
100,2.8799999999999999,0.261593,0.0026810169219970703
1000,3.1240000000000001,0.0175927,0.002930164337158203
10000,3.1536000000000000,0.0120073,0.006097078323364258
100000,3.1391600000000000,0.00243265,0.036596059799194336
1000000,3.1434760000000002,0.00188335,0.3450639247894287
100000000,3.1415171200000001,7.55336e-05,36.06777334213257
1000000000,3.1416320440000001,3.93904e-05,1694.78156375885
10000000000,3.1416525296392490,5.9876e-05,2985.103819131851
100000000000,3.1416398515529060,4.7198e-05,2734.018884897232
