N,pi_value,error_value,time
10,2.7999999999999998,0.341593,0.009809494018554688
100,3.2000000000000002,0.0584073,0.008070707321166992
1000,3.0080000000000000,0.133593,0.009891510009765625
10000,3.1516000000000002,0.0100073,0.016668081283569336
100000,3.1353200000000001,0.00627265,0.042475223541259766
1000000,3.1389040000000001,0.00268865,0.34361863136291504
100000000,3.1417720400000002,0.000179386,39.3955192565918
1000000000,3.1415785960000000,1.40576e-05,391.2041234970093
10000000000,3.1416350751297912,4.24215e-05,555.0989158153534
100000000000,3.1415400285784556,5.2625e-05,477.3814923763275
